Name,Birthcity,Birthstate,Birthyear,Continent Name,Country Code,Country Name,countryCode3,Dead or Alive,Domain,First Initial,Gender,Industry,Occupation,To,Average Views,En Curid,HPI,L star,LAT,LON,Numlangs,Page Views English,Page Views Non English,Std Dev Page Views,Total Page Views
Livia,Other,,-58,,UNK,Unknown,,Dead,PUBLIC FIGURE,L,Female,COMPANIONS,COMPANION,29,"51,329.10","74,775",25.8770324,7.707077709,41.9,12.5,29,"717,832","770,712","5,075.45","1,488,544"
Charlize Theron,Johannesburg,,1975,Africa,ZA,SOUTH AFRICA,ZAF,Alive,ARTS,C,Female,FILM AND THEATRE,ACTOR,0,"445,516.76","5,132",20.91267584,6.189525539,-26.188333,28.320556,62,"14,527,556","13,094,483","227,524.26","27,622,039"
Cesária Évora,Mindelo,,1941,Africa,CV,CAPE VERDE,CPV,Dead,ARTS,C,Female,MUSIC,SINGER,2011,"42,942.51","8,611,104",23.08611721,9.251755139,16.886,-24.988,51,"738,043","1,452,025","42,904.45","2,190,068"
Umm Kulthum,El Senbellawein,,1904,Africa,EG,EGYPT,EGY,Dead,ARTS,U,Female,MUSIC,SINGER,1975,"31,192.72","214,221",24.03941582,7.981308528,30.879834,31.469479,64,"838,461","1,157,873","17,551.84","1,996,334"
Mariza,Maputo,,1973,Africa,MZ,MOZAMBIQUE,MOZ,Alive,ARTS,M,Female,MUSIC,SINGER,0,"32,927.15","494,073",18.38548749,7.007172818,-25.966667,32.583333,27,"344,275","544,758","2,596.33","889,033"
Miriam Makeba,Johannesburg,,1932,Africa,ZA,SOUTH AFRICA,ZAF,Dead,ARTS,M,Female,MUSIC,SINGER,2008,"129,043.60","598,363",22.46208069,8.702419483,-26.204444,28.045556,45,"2,659,699","3,147,263","415,839.07","5,806,962"
Assia Djebar,Cherchell,,1936,Africa,DZ,ALGERIA,DZA,Dead,HUMANITIES,A,Female,LANGUAGE,WRITER,2015,"19,449.75","1,907,465",22.01011511,6.952051896,36.61,2.196667,28,"135,687","408,906","3,815.73","544,593"
Nadine Gordimer,Springs,,1923,Africa,ZA,SOUTH AFRICA,ZAF,Dead,HUMANITIES,N,Female,LANGUAGE,WRITER,2014,"22,230.51","179,599",24.76004664,9.864711907,-26.254722,28.442778,65,"722,999","721,984","4,213.00","1,444,983"
Ayaan Hirsi Ali,Mogadishu,,1969,Africa,SO,SOMALIA,SOM,Alive,HUMANITIES,A,Female,PHILOSOPHY,PHILOSOPHER,0,"86,077.28","870,045",19.246178,4.534121793,2.033333,45.35,36,"2,047,099","1,051,683","12,090.29","3,098,782"
"Charlene, Princess of Monaco",Bulawayo,,1978,Africa,ZW,Zimbabwe,ZWE,Alive,INSTITUTIONS,C,Female,GOVERNMENT,NOBLEMAN,0,"30,037.03","4,106,584",15.9545463,7.321006021,-20.17,28.58,33,"1,091","990,131","33,961.09","991,222"
Cleopatra III of Egypt,Other,,-161,Africa,EG,Egypt,EGY,Dead,INSTITUTIONS,C,Female,GOVERNMENT,POLITICIAN,-101,"13,561.48","2,016,343",24.57963681,8.467714081,,,27,"163,533","202,627","1,272.59","366,160"
Wangari Maathai,Central Province,,1940,Africa,KE,KENYA,KEN,Dead,INSTITUTIONS,W,Female,GOVERNMENT,POLITICIAN,2011,"35,928.82","1,049,151",23.79359874,8.888365414,-0.75,37,67,"1,089,807","1,317,424","26,883.28","2,407,231"
Ellen Johnson Sirleaf,Monrovia,,1938,Africa,LR,LIBERIA,LBR,Alive,INSTITUTIONS,E,Female,GOVERNMENT,POLITICIAN,0,"25,322.28","2,642,141",22.74249986,7.492868101,6.313333,-10.801389,69,"1,021,451","725,786","27,224.11","1,747,237"
Luisa Diogo,Tete Province,,1958,Africa,MZ,MOZAMBIQUE,MOZ,Alive,INSTITUTIONS,L,Female,GOVERNMENT,POLITICIAN,0,"5,779.97","476,181",19.42191897,11.0516076,-15.5,32.5,29,"63,995","103,624",600.0916698,"167,619"
Joyce Banda,Zomba,,1950,Africa,MW,Malawi,MWI,Alive,INSTITUTIONS,J,Female,GOVERNMENT,POLITICIAN,0,"12,225.42","5,503,425",17.9486213,3.995214824,,,38,"334,746","129,820","14,895.27","464,566"
Ségolène Royal,Dakar,,1953,Africa,SN,Senegal,SEN,Alive,INSTITUTIONS,S,Female,GOVERNMENT,POLITICIAN,0,"65,212.49","563,982",21.89725805,5.428231912,14.723889,-17.489167,61,"1,051,744","2,926,218","76,034.20","3,977,962"
Hagar,Other,,-1800,Africa,EG,Egypt,EGY,Alive,INSTITUTIONS,H,Female,RELIGION,RELIGIOUS FIGURE,0,"30,932.14","307,388",25.82557274,9.45014847,26,30,35,"427,642","654,983","7,876.48","1,082,625"
Catherine of Alexandria,Alexandria,,287,Africa,EG,Egypt,EGY,Dead,INSTITUTIONS,C,Female,RELIGION,RELIGIOUS FIGURE,305,"52,279.20","85,731",26.38654567,9.361172013,31.2,29.916667,46,"1,052,925","1,351,918","14,597.98","2,404,843"
Leymah Gbowee,Monrovia,,1972,Africa,LR,LIBERIA,LBR,Alive,PUBLIC FIGURE,L,Female,ACTIVISM,SOCIAL ACTIVIST,0,"15,306.79","28,418,433",16.0148473,7.648595657,6.313333,-10.801389,38,"314,278","267,380","16,100.05","581,658"
Tiye,Sohag,,-1398,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,T,Female,COMPANIONS,COMPANION,-1338,"21,747.15","156,602",25.02999993,7.102497382,26.566667,31.75,27,"291,399","295,774","2,204.01","587,173"
Nefertiti,Thebes,,-1370,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,N,Female,COMPANIONS,COMPANION,-1330,"130,547.01","90,050",29.57109368,11.6936323,25.720556,32.610278,74,"3,677,405","5,983,074","35,080.21","9,660,479"
Nefertari,Other,,-1290,Africa,EG,Egypt,EGY,Dead,PUBLIC FIGURE,N,Female,COMPANIONS,COMPANION,-1256,"56,219.55","156,607",26.74173229,7.976669803,,,33,"836,883","1,018,362","5,805.98","1,855,245"
Candice Swanepoel,Mooiriver,,1988,Africa,ZA,SOUTH AFRICA,ZAF,Alive,PUBLIC FIGURE,C,Female,MEDIA PERSONALITY,MODEL,0,"251,344.35","14,536,815",15.42059373,4.650815551,-29.2,29.983333,26,"3,989,783","2,545,170","92,375.74","6,534,953"
Tirunesh Dibaba,Bekoji,,1985,Africa,ET,ETHIOPIA,ETH,Alive,SPORTS,T,Female,INDIVIDUAL SPORTS,ATHLETE,0,"18,470.08","2,405,926",13.94475899,7.051283591,7.583333,39.333333,36,"364,662","300,261","16,963.43","664,923"
Caster Semenya,Polokwane,,1991,Africa,ZA,South Africa,ZAF,Alive,SPORTS,C,Female,INDIVIDUAL SPORTS,ATHLETE,0,"113,576.61","24,019,501",13.33785609,4.319595982,-23.9,29.45,28,"2,087,616","1,092,529","92,029.11","3,180,145"
Kirsty Coventry,Harare,,1983,Africa,ZW,ZIMBABWE,ZWE,Alive,SPORTS,K,Female,INDIVIDUAL SPORTS,SWIMMER,0,"21,255.53","915,950",12.93513754,4.436481253,-17.863889,31.029722,30,"431,176","206,490","22,516.24","637,666"
Cara Black,Harare,,1979,Africa,ZW,ZIMBABWE,ZWE,Alive,SPORTS,C,Female,INDIVIDUAL SPORTS,TENNIS PLAYER,0,"19,326.37","2,571,986",15.46964366,5.317922638,-17.863889,31.029722,27,"314,076","207,736","3,073.49","521,812"
Zaha Hadid,Baghdad,,1950,Asia,IQ,Iraq,IRQ,Alive,ARTS,Z,Female,DESIGN,ARCHITECT,0,"89,713.52","513,402",23.75899631,9.118485291,33.333333,44.433333,42,"1,529,931","2,238,037","15,742.31","3,767,968"
Marjane Satrapi,Rasht,,1969,Asia,IR,Iran,IRN,Alive,ARTS,M,Female,DESIGN,COMIC ARTIST,0,"69,797.83","482,729",19.27809164,6.099837028,37.280833,49.583056,29,"967,063","1,057,074","8,332.34","2,024,137"
Rumiko Takahashi,Niigata,,1957,Asia,JP,JAPAN,JPN,Alive,ARTS,R,Female,DESIGN,COMIC ARTIST,0,"118,465.21","26,502",22.81695662,5.125381474,37.916111,139.036389,33,"924,419","2,984,933","8,339.32","3,909,352"
Gong Li,Shenyang,,1965,Asia,CN,China,CHN,Alive,ARTS,G,Female,FILM AND THEATRE,ACTOR,0,"128,985.65","150,071",21.33463258,6.302457804,41.8,123.4,37,"2,603,199","2,169,270","12,816.11","4,772,469"
Zhang Ziyi,Beijing,,1979,Asia,CN,China,CHN,Alive,ARTS,Z,Female,FILM AND THEATRE,ACTOR,0,"175,378.91","72,811",18.90759875,5.74102842,39.916667,116.383333,43,"4,405,404","3,135,889","37,040.80","7,541,293"
Katrina Kaif,Hong Kong,,1984,Asia,CN,China,CHN,Alive,ARTS,K,Female,FILM AND THEATRE,ACTOR,0,"567,013.38","13,951,035",14.63383214,1.43441187,,,32,"17,063,574","1,080,854","178,970.51","18,144,428"
Maggie Cheung,Hong Kong,,1964,Asia,CN,CHINA,CHN,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"91,269.31","150,060",19.79412734,4.948092012,22.267,114.188,26,"1,359,573","1,013,429","8,974.81","2,373,002"
Priyanka Chopra,Jamshedpur,,1982,Asia,IN,India,IND,Alive,ARTS,P,Female,FILM AND THEATRE,ACTOR,0,"275,068.90","838,950",15.9309134,1.750143147,22.8,86.3,49,"12,179,961","1,298,415","113,875.38","13,478,376"
Vivien Leigh,Darjeeling,,1913,Asia,IN,India,IND,Dead,ARTS,V,Female,FILM AND THEATRE,ACTOR,1967,"165,971.08","32,788",25.63171967,6.53384647,27.05,88.266667,63,"5,868,924","4,587,254","56,115.57","10,456,178"
Julie Christie,Chabua,,1941,Asia,IN,India,IND,Alive,ARTS,J,Female,FILM AND THEATRE,ACTOR,0,"96,861.02","163,347",23.9021461,4.82271138,27.48,95.18,45,"2,692,121","1,666,625","19,933.46","4,358,746"
Juhi Chawla,Ambala,,1967,Asia,IN,India,IND,Alive,ARTS,J,Female,FILM AND THEATRE,ACTOR,0,"128,468","1,117,493",16.6881447,1.671982793,30.91,75.85,30,"3,521,634","332,406","25,909.14","3,854,040"
Madhuri Dixit,Mumbai,,1967,Asia,IN,India,IND,Alive,ARTS,M,Female,FILM AND THEATRE,ACTOR,0,"218,824.56","19,852",17.11547317,1.597521869,18.975,72.825833,34,"6,864,854","575,181","61,127.10","7,440,035"
Kajol,Mumbai,,1974,Asia,IN,India,IND,Alive,ARTS,K,Female,FILM AND THEATRE,ACTOR,0,"244,413.45","402,850",18.67488693,3.131605495,18.975,72.825833,40,"7,265,825","2,510,713","55,524.25","9,776,538"
Shilpa Shetty,Mangalore,,1975,Asia,IN,India,IND,Alive,ARTS,S,Female,FILM AND THEATRE,ACTOR,0,"192,683.54","18,319,111",15.48150975,1.50740771,12.87,74.88,28,"5,040,086","355,053","30,272.24","5,395,139"
