Topic,Party,Mentions,Didn't Mention
Thoughts & prayers,Democrat,114,73
Thoughts & prayers,Republican,199,48
Addressed LGBT community,Democrat,123,64
Addressed LGBT community,Republican,19,228
Mentioned hate,Democrat,94,93
Mentioned hate,Republican,24,223
Condemned terrorism,Democrat,89,98
Condemned terrorism,Republican,146,101
Used phrases similar to radical Islam,Democrat,3,184
Used phrases similar to radical Islam,Republican,80,167
Praised first responders,Democrat,46,141
Praised first responders,Republican,68,179
Advocated gun control,Democrat,79,108
Advocated gun control,Republican,0,247
Stated support for gun rights,Democrat,0,187
Stated support for gun rights,Republican,9,238
Criticized Obama administration,Democrat,0,187
Criticized Obama administration,Republican,12,235
