Category,Year,Total,Male,Female
Census,1911,18994.00,9070.00,9924.00
Census,1921,20127.00,9629.00,10498.00
Census,1931,27789.00,14174.00,13615.00
Census,1939,30516.00,15034.00,15482.00
Census,1950,37403.00,18148.00,19255.00
Census,1960,42640.00,21233.00,21407.00
Census,1970,52976.00,26671.00,26305.00
Census,1980,54670.00,26715.00,27955.00
Census,1991,59324.00,28911.00,30413.00
Census,2000,62960.00,30381.00,32579.00
Census,2010,65059.00,31358.00,33701.00
Year-End Estimate,1980,54870.00,26886.00,27984.00
Year-End Estimate,1981,55231.00,26965.00,28266.00
Year-End Estimate,1982,55667.00,27161.00,28506.00
Year-End Estimate,1983,56194.00,27420.00,28774.00
Year-End Estimate,1984,56652.00,27658.00,28994.00
Year-End Estimate,1985,57145.00,27884.00,29261.00
Year-End Estimate,1986,57619.00,28113.00,29506.00
Year-End Estimate,1987,58080.00,28298.00,29782.00
Year-End Estimate,1988,58616.00,28517.00,30099.00
Year-End Estimate,1989,59066.00,28740.00,30326.00
Year-End Estimate,1990,59588.00,28991.00,30597.00
Year-End Estimate,1991,58460.00,28345.00,30115.00
Year-End Estimate,1992,58731.00,28452.00,30279.00
Year-End Estimate,1993,59090.00,28627.00,30463.00
Year-End Estimate,1994,59550.00,28803.00,30747.00
Year-End Estimate,1995,59942.00,28969.00,30973.00
Year-End Estimate,1996,60317.00,29125.00,31192.00
Year-End Estimate,1997,60678.00,29283.00,31395.00
Year-End Estimate,1998,61210.00,29426.00,31784.00
Year-End Estimate,1999,61360.00,29564.00,31796.00
Year-End Estimate,2000,62310.00,29930.00,32380.00
Year-End Estimate,2001,62699.00,30127.00,32572.00
Year-End Estimate,2002,63125.00,30354.00,32771.00
Year-End Estimate,2003,63525.00,30575.00,32950.00
Year-End Estimate,2004,63955.00,30821.00,33134.00
Year-End Estimate,2005,64353.00,31024.00,33329.00
Year-End Estimate,2006,64693.00,31193.00,33500.00
Year-End Estimate,2007,65084.00,31380.00,33704.00
Year-End Estimate,2008,65462.00,31563.00,33899.00
Year-End Estimate,2009,65811.00,31739.00,34072.00
Year-End Estimate,2010,64444.00,30943.00,33501.00
Year-End Estimate,2011,64685.00,31063.00,33622.00
Live Births,1993,806.00,412.00,394.00
Live Births,1994,823.00,431.00,392.00
Live Births,1995,832.00,436.00,396.00
Live Births,1996,833.00,395.00,438.00
Live Births,1997,849.00,411.00,438.00
Live Births,1998,825.00,416.00,409.00
Live Births,1999,828.00,416.00,412.00
Live Births,2000,838.00,425.00,413.00
Live Births,2001,831.00,443.00,388.00
Live Births,2002,830.00,423.00,407.00
Live Births,2003,834.00,432.00,402.00
Live Births,2004,836.00,445.00,391.00
Live Births,2005,835.00,441.00,394.00
Live Births,2006,798.00,417.00,381.00
Live Births,2007,859.00,427.00,432.00
Live Births,2008,821.00,430.00,391.00
Live Births,2009,819.00,427.00,392.00
Live Births,2010,769.00,373.00,396.00
Live Births,2011,670.00,330.00,340.00
Marriages,1993,942.00,,
Marriages,1994,990.00,,
Marriages,1995,1002.00,,
Marriages,1996,945.00,,
Marriages,1997,966.00,,
Marriages,1998,1033.00,,
Marriages,1999,1093.00,,
Marriages,2000,1023.00,,
