Category,Product,2014,2013,% Change,,,,
Fragrances,Fine Female," 729,960,000 "," 746,749,080 ",-2.3%,,,,
Fragrances,Fine Male," 416,030,000 "," 417,278,090 ",-0.3%,,,,
Fragrances,Mass Female," 79,820,000 "," 85,886,320 ",-7.6%,,,,
Fragrances,Mass Male," 64,220,000 "," 68,843,840 ",-7.2%,,,,
Fragrances,Fine Unisex," 25,990,000 "," 25,834,060 ",0.6%,,,,
Fragrances,Mass Unisex," 2,450,000 "," 2,165,800 ",11.6%,,,,
Colour Cosmetics,Face," 529,350,000 "," 523,527,150 ",1.1%,,,,
Colour Cosmetics,Eyes," 381,930,000 "," 371,235,960 ",2.8%,,,,
Colour Cosmetics,Nails," 219,930,000 "," 216,411,120 ",1.6%,,,,
Colour Cosmetics,Lips," 202,280,000 "," 200,257,200 ",1.0%,,,,
Colour Cosmetics,Gift Packs," 28,070,000 "," 24,898,090 ",11.3%,,,,
Skincare,Face Care Non-Medicated," 735,160,000 "," 718,251,320 ",2.3%,,,,
Skincare,Prestige Skincare," 465,930,000 "," 477,112,320 ",-2.4%,,,,
Skincare,Sun Preparations," 234,060,000 "," 244,592,700 ",-4.5%,,,,
Skincare,Body Creams / Lotions," 162,710,000 "," 165,964,200 ",-2.0%,,,,
Skincare,Face Care Medicated," 78,980,000 "," 77,479,380 ",1.9%,,,,
Skincare,Face Care Male," 60,430,000 "," 60,430,000 ",0.0%,,,,
Skincare,Lipsalves," 58,860,000 "," 61,214,400 ",-4.0%,,,,
Skincare,Baby Care Products," 16,480,000 "," 17,600,640 ",-6.8%,,,,
Skincare,Unknown," 44,390,000 "," 46,165,600 ",-4.0%,,,,
Haircare,Shampoo," 462,680,000 "," 451,575,680 ",2.4%,,,,
Haircare,Salons," 404,610,000 "," 404,610,000 ",0.0%,,,,
Haircare,Conditioners," 296,010,000 "," 290,681,820 ",1.8%,,,,
Haircare,Hair Colourants," 286,330,000 "," 300,073,840 ",-4.8%,,,,
Haircare,Hair / Setting Sprays," 169,820,000 "," 174,574,960 ",-2.8%,,,,
Haircare,Hair Cream / Wax / Gel," 90,540,000 "," 82,210,320 ",9.2%,,,,
Haircare,Setting Lotion / Mousse," 24,690,000 "," 25,455,390 ",-3.1%,,,,
Haircare,Home Perms," 1,280,000 "," 1,319,680 ",-3.1%,,,,
Toiletries,Deodorant," 594,830,000 "," 594,235,170 ",0.1%,,,,
Toiletries,Toothpaste," 473,590,000 "," 453,699,220 ",4.2%,,,,
Toiletries,Shower / Body Wash," 333,370,000 "," 330,703,040 ",0.8%,,,,
Toiletries,Mouthwash," 183,340,000 "," 184,806,720 ",-0.8%,,,,
Toiletries,Liquid Soap," 163,780,000 "," 155,591,000 ",5.0%,,,,
Toiletries,Bath Additives," 104,460,000 "," 107,071,500 ",-2.5%,,,,
Toiletries,Toilet Soap," 87,830,000 "," 89,410,940 ",-1.8%,,,,
Toiletries,Shaving Soap," 76,180,000 "," 79,912,820 ",-4.9%,,,,
Toiletries,Depilatories," 49,890,000 "," 51,137,250 ",-2.5%,,,,
Toiletries,Foot Preparations," 24,390,000 "," 24,682,680 ",-1.2%,,,,
Toiletries,Talcum Powder," 16,710,000 "," 16,810,260 ",-0.6%,,,,
