Survey Date,City,Country,TOTAL,Very satisfied,% Very satisfied,Rather satisfied,% Rather satisfied,Rather unsatisfied,% Rather unsatisfied,Not at all satisfied,% Not at all satisfied,Don't know,% Don't know,Total 'Satisfied',% Total 'Satisfied',Total 'Not satisfied',% Total 'Not satisfied'
Nov-Dec 2012,Antwerpen,Belgium,500,106,0.21,194,0.39,104,0.21,73,0.15,23,0.04,300,0.6,177,0.36
May-Jun 2015,Antwerpen,Belgium,505,122,0.24,243,0.48,83,0.17,35,0.07,22,0.04,365,0.72,118,0.24
Nov-Dec 2012,Brussel/ Bruxelles,Belgium,500,110,0.22,225,0.45,85,0.17,50,0.1,29,0.06,335,0.67,136,0.27
May-Jun 2015,Brussel/ Bruxelles,Belgium,501,96,0.19,261,0.52,86,0.17,35,0.07,23,0.05,357,0.71,121,0.24
Nov-Dec 2012,Liege,Belgium,503,92,0.18,232,0.46,79,0.16,50,0.1,51,0.1,324,0.64,128,0.26
May-Jun 2015,Liege,Belgium,505,69,0.14,212,0.42,120,0.24,61,0.12,43,0.08,280,0.56,182,0.36
Nov-Dec 2012,Burgas,Bulgaria,500,106,0.21,230,0.46,37,0.07,26,0.05,102,0.21,335,0.67,63,0.12
May-Jun 2015,Burgas,Bulgaria,499,266,0.53,163,0.33,8,0.02,5,0.01,57,0.11,429,0.86,13,0.03
Nov-Dec 2012,Sofia,Bulgaria,504,94,0.19,217,0.43,93,0.18,53,0.11,47,0.09,311,0.62,146,0.29
May-Jun 2015,Sofia,Bulgaria,502,89,0.18,280,0.56,70,0.14,20,0.04,43,0.08,368,0.74,90,0.18
Nov-Dec 2012,Ostrava,Czech Republic,500,175,0.35,223,0.45,52,0.1,11,0.02,40,0.08,398,0.8,62,0.12
May-Jun 2015,Ostrava,Czech Republic,500,178,0.36,228,0.45,38,0.08,10,0.02,46,0.09,406,0.81,49,0.1
Nov-Dec 2012,Praha,Czech Republic,500,175,0.35,216,0.43,71,0.14,23,0.05,15,0.03,392,0.78,94,0.19
May-Jun 2015,Praha,Czech Republic,503,209,0.42,221,0.44,45,0.09,7,0.01,21,0.04,429,0.86,53,0.1
Nov-Dec 2012,Aalborg,Denmark,502,154,0.31,175,0.35,77,0.15,22,0.04,74,0.15,328,0.66,99,0.19
May-Jun 2015,Aalborg,Denmark,501,166,0.33,182,0.36,55,0.11,13,0.03,84,0.17,348,0.69,68,0.14
Nov-Dec 2012,Kobenhavn,Denmark,501,190,0.38,194,0.39,72,0.14,28,0.06,17,0.03,384,0.77,100,0.2
May-Jun 2015,Kobenhavn,Denmark,504,155,0.31,221,0.44,83,0.17,22,0.04,23,0.04,376,0.75,105,0.21
Nov-Dec 2012,Berlin,Germany,503,191,0.38,197,0.39,71,0.14,20,0.04,24,0.05,388,0.77,91,0.18
May-Jun 2015,Berlin,Germany,501,229,0.46,192,0.38,50,0.1,14,0.03,16,0.03,421,0.84,64,0.13
Nov-Dec 2012,Dortmund,Germany,500,218,0.44,207,0.41,30,0.06,12,0.02,33,0.07,425,0.85,42,0.08
May-Jun 2015,Dortmund,Germany,503,221,0.44,209,0.41,32,0.06,13,0.03,29,0.06,429,0.85,44,0.09
Nov-Dec 2012,Essen,Germany,502,165,0.33,194,0.39,76,0.15,27,0.05,40,0.08,359,0.72,103,0.2
May-Jun 2015,Essen,Germany,500,124,0.25,211,0.42,89,0.18,23,0.04,54,0.11,335,0.67,111,0.22
Nov-Dec 2012,Hamburg,Germany,501,248,0.5,193,0.38,35,0.07,11,0.02,13,0.03,441,0.88,46,0.09
May-Jun 2015,Hamburg,Germany,501,221,0.44,220,0.44,31,0.06,6,0.01,22,0.05,441,0.88,38,0.07
Nov-Dec 2012,Leipzig,Germany,504,195,0.39,219,0.43,46,0.09,11,0.02,32,0.07,414,0.82,57,0.11
May-Jun 2015,Leipzig,Germany,504,196,0.39,228,0.45,30,0.06,14,0.03,36,0.07,424,0.84,44,0.09
Nov-Dec 2012,Munchen,Germany,502,243,0.48,185,0.37,48,0.1,14,0.03,13,0.02,427,0.85,62,0.13
May-Jun 2015,Munchen,Germany,500,255,0.51,175,0.35,49,0.1,10,0.02,11,0.02,430,0.86,59,0.12
Nov-Dec 2012,Rostock,Germany,500,255,0.51,192,0.39,29,0.06,6,0.01,17,0.03,448,0.9,36,0.07
May-Jun 2015,Rostock,Germany,501,287,0.57,155,0.31,25,0.05,7,0.01,27,0.06,441,0.88,32,0.06
Nov-Dec 2012,Tallinn,Estonia,500,86,0.17,209,0.42,111,0.22,33,0.07,61,0.12,295,0.59,144,0.29
May-Jun 2015,Tallinn,Estonia,500,126,0.25,231,0.46,48,0.1,10,0.02,85,0.17,356,0.71,59,0.12
Nov-Dec 2012,Dublin,Ireland,500,156,0.31,196,0.39,85,0.17,49,0.1,15,0.03,351,0.7,134,0.27
May-Jun 2015,Dublin,Ireland,500,187,0.37,190,0.38,75,0.15,32,0.07,15,0.03,377,0.75,108,0.22
Nov-Dec 2012,Athina,Greece,500,111,0.22,225,0.45,72,0.15,66,0.13,26,0.05,336,0.67,138,0.28
May-Jun 2015,Athina,Greece,500,133,0.27,228,0.45,100,0.2,20,0.04,19,0.04,361,0.72,120,0.24
Nov-Dec 2012,Irakleio,Greece,500,101,0.2,205,0.41,79,0.16,50,0.1,65,0.13,306,0.61,129,0.26
May-Jun 2015,Irakleio,Greece,501,94,0.19,182,0.36,92,0.18,56,0.11,78,0.16,276,0.55,147,0.29
Nov-Dec 2012,Athens surr.,Greece,502,92,0.19,212,0.42,101,0.2,59,0.12,37,0.07,305,0.61,161,0.32
May-Jun 2015,Athens surr.,Greece,301,67,0.22,150,0.5,45,0.15,22,0.07,18,0.06,216,0.72,67,0.22
Nov-Dec 2012,Greater Athens,Greece,1002,194,0.19,431,0.43,186,0.19,122,0.12,68,0.07,625,0.62,308,0.31
May-Jun 2015,Greater Athens,Greece,801,187,0.23,389,0.49,131,0.16,51,0.07,42,0.05,577,0.72,182,0.23
Nov-Dec 2012,Barcelona,Spain,500,105,0.21,240,0.48,88,0.18,51,0.1,16,0.03,346,0.69,139,0.28
May-Jun 2015,Barcelona,Spain,500,121,0.24,258,0.52,64,0.13,42,0.08,16,0.03,379,0.76,106,0.21
Nov-Dec 2012,Madrid,Spain,501,129,0.26,211,0.42,72,0.14,65,0.13,23,0.05,341,0.68,137,0.27
May-Jun 2015,Madrid,Spain,500,129,0.26,228,0.46,80,0.16,45,0.09,18,0.03,357,0.72,125,0.25
Nov-Dec 2012,Malaga,Spain,500,126,0.25,231,0.46,68,0.14,47,0.09,28,0.06,357,0.71,115,0.23
May-Jun 2015,Malaga,Spain,501,133,0.26,240,0.48,53,0.11,29,0.06,46,0.09,373,0.74,82,0.17
Nov-Dec 2012,Oviedo,Spain,500,114,0.23,258,0.52,61,0.12,24,0.05,43,0.08,372,0.75,85,0.17
May-Jun 2015,Oviedo,Spain,500,93,0.18,240,0.48,78,0.16,36,0.07,53,0.11,333,0.66,114,0.23
Nov-Dec 2012,Helsinki,Finland,504,241,0.48,208,0.41,35,0.07,12,0.02,8,0.02,450,0.89,47,0.09
May-Jun 2015,Helsinki,Finland,500,243,0.49,221,0.44,23,0.04,4,0.01,10,0.02,464,0.93,27,0.05
Nov-Dec 2012,Oulu,Finland,501,60,0.12,168,0.33,165,0.33,70,0.14,38,0.08,228,0.45,234,0.47
May-Jun 2015,Oulu,Finland,500,47,0.09,183,0.36,169,0.34,58,0.12,43,0.09,230,0.45,227,0.46
Nov-Dec 2012,Bordeaux,France,503,184,0.37,233,0.46,47,0.1,27,0.05,12,0.02,417,0.83,74,0.15
May-Jun 2015,Bordeaux,France,501,193,0.38,227,0.45,53,0.11,15,0.03,13,0.03,420,0.83,68,0.14
Nov-Dec 2012,Lille,France,501,223,0.45,205,0.41,41,0.08,22,0.04,11,0.02,427,0.86,63,0.12
May-Jun 2015,Lille,France,500,141,0.28,246,0.49,61,0.13,26,0.05,25,0.05,387,0.77,88,0.18
Nov-Dec 2012,Marseille,France,501,93,0.19,217,0.43,106,0.21,71,0.14,14,0.03,310,0.62,177,0.35
May-Jun 2015,Marseille,France,500,98,0.2,236,0.47,91,0.18,57,0.11,18,0.04,333,0.67,148,0.29
Nov-Dec 2012,Paris,France,500,156,0.31,235,0.47,76,0.15,26,0.05,7,0.02,391,0.78,102,0.2
May-Jun 2015,Paris,France,501,117,0.23,280,0.56,65,0.13,37,0.07,2,0.01,397,0.79,101,0.2
Nov-Dec 2012,Rennes,France,502,212,0.42,227,0.45,31,0.06,15,0.03,17,0.04,439,0.87,46,0.09
May-Jun 2015,Rennes,France,502,191,0.38,225,0.45,46,0.09,22,0.05,17,0.03,416,0.83,69,0.14
