Origin,Destination,1990,1995,2000,2005
Africa,Africa,12569312224,9282832832,6120263072,6009325504
Africa,East Asia,378084,908852,376320,633080
Africa,Europe,845311236,1429387344,1864476768,1947683892
Africa,Fmr Soviet Union,1958880,3751020,1333080,2041200
Africa,Latin America,5988528,34788096,12235104,12414528
Africa,North America,12828872,37702616,27112288,30289672
Africa,Oceania,12882240,31115280,37332624,52411968
Africa,South Asia,3693564,11144196,2986452,61488
Africa,South-East Asia,929544,4892888,852852,282128
Africa,West Asia,464100000,309574860,203707560,282661680
East Asia,Africa,4279660,1948044,5172636,3350032
East Asia,East Asia,13822042.5,12008626,17741552.5,19142242
East Asia,Europe,24648162,12087999,63669721.5,54142011
East Asia,Fmr Soviet Union,4106812.5,2220855,3393337.5,3431715
East Asia,Latin America,4756626,5188806,6837390,4427892
East Asia,North America,5633257,6767901,10683365,7405328
East Asia,Oceania,4767000,3158526,12336282,11707332
East Asia,South Asia,361746,174888,1032790.5,3685.5
East Asia,South-East Asia,2652072.5,2200313.5,5524403.5,5592664
East Asia,West Asia,521325,192570,243285,135502.5
Europe,Africa,501071340,73105956,114371796,163460220
Europe,East Asia,719103,1952989.5,224301,601870.5
Europe,Europe,1901512701,1454554976,1586277149,1307603682
Europe,Fmr Soviet Union,6341197.5,6799815,3755070,9285457.5
Europe,Latin America,10064736,70287426,8976528,9749916
Europe,North America,6489780,28906944,2521266,2020161
Europe,Oceania,28685448,24505074,10033254,25232526
Europe,South Asia,6701805,9327879,2226312,2079
Europe,South-East Asia,2425747.5,16480563,3244131,1224762
Europe,West Asia,98935402.5,33063277.5,29600257.5,33692422.5
Fmr Soviet Union,Africa,6746880,3279360,1672440,714420
Fmr Soviet Union,East Asia,305182.5,483105,449137.5,295312.5
Fmr Soviet Union,Europe,350314222.5,291203055,261941625,150784425
Fmr Soviet Union,Fmr Soviet Union,313361212.5,295822237.5,248346562.5,210431362.5
Fmr Soviet Union,Latin America,1320300,3400920,575100,197910
Fmr Soviet Union,North America,1393770,6162750,1005480,319245
Fmr Soviet Union,Oceania,1095840,2298780,235890,102330
Fmr Soviet Union,South Asia,6042870,941760,3465450,366390
Fmr Soviet Union,South-East Asia,58987.5,240817.5,10395,7095
Fmr Soviet Union,West Asia,20167987.5,9781537.5,6000300,2513362.5
Latin America,Africa,25119360,1952496,22285872,22833216
Latin America,East Asia,15119748,12467700,8643726,14134680
Latin America,Europe,261149724,178459578,1059308712,1046976678
Latin America,Fmr Soviet Union,287280,124200,1278180,2849310
Latin America,Latin America,437143392,436391064,554027040,569720304
Latin America,North America,126849168,139038732,159533100,130602492
Latin America,Oceania,3688848,3334608,5440392,7782696
Latin America,South Asia,1200096,875286,248832,59130
Latin America,South-East Asia,785466,908622,255222,503910
Latin America,West Asia,6336900,1293840,6949530,10452780
North America,Africa,5798968,870800,1984976,3532480
North America,East Asia,123872,114849,149128,274015
North America,Europe,30121839,1874961,36477144,40125657
North America,Fmr Soviet Union,123165,20040,235245,1692345
North America,Latin America,6834924,2490480,7580196,9968688
North America,North America,115234,382142,169336,192204
North America,Oceania,445416,61788,361380,627636
North America,South Asia,541638,4113,565092,1422
North America,South-East Asia,114829,713581,1005939,459338
North America,West Asia,1604835,16245,1020960,1955385
Oceania,Africa,12481392,460320,2296896,1594992
Oceania,East Asia,184506,352296,147210,237678
Oceania,Europe,21385188,13349358,39962934,33733260
Oceania,Fmr Soviet Union,18180,31230,174510,466290
Oceania,Latin America,835920,2255472,720792,385560
Oceania,North America,348240,979344,593868,325644
Oceania,Oceania,6665256,7790976,11636280,13730832
Oceania,South Asia,169236,146016,50544,270
Oceania,South-East Asia,1859946,1615680,1202850,784278
Oceania,West Asia,1463670,298350,1348650,1018440
South Asia,Africa,8289792,5959296,12066768,15994692
South Asia,East Asia,709569,1900048.5,1132960.5,2318368.5
South Asia,Europe,37721524.5,62737537.5,131207175,206455392
South Asia,Fmr Soviet Union,40027.5,236182.5,238882.5,1079932.5
South Asia,Latin America,286416,2081538,682182,1090908
South Asia,North America,3744216,7987167,10147815,13572072
South Asia,Oceania,2882952,5107320,11862882,18760680
South Asia,South Asia,238055395.5,69163105.5,77103454.5,52970233.5
South Asia,South-East Asia,4664286,23872167,16216051.5,26031109.5
South Asia,West Asia,25254517.5,13504387.5,138766095,330890467.5
South-East Asia,Africa,8334480,2283820,7574952,7878640
South-East Asia,East Asia,10273994.5,10664731,9293938.5,14644938
South-East Asia,Europe,83860804.5,19574593.5,99814473,109129597.5
South-East Asia,Fmr Soviet Union,118635,15097.5,478417.5,673117.5
South-East Asia,Latin America,2165526,1685970,1128204,1203840
South-East Asia,North America,11858077,10491767,10956858,10703660
South-East Asia,Oceania,14114892,7822452,16323978,22018128
South-East Asia,South Asia,11650320,1692949.5,6575926.5,2926737
South-East Asia,South-East Asia,52650064.5,67460222.5,110877321.5,98675318.5
South-East Asia,West Asia,21022650,3058110,51915765,71718157.5
West Asia,Africa,155347500,64963500,59871000,56744520
West Asia,East Asia,142012.5,933187.5,22785,20265
West Asia,Europe,154837980,136024020,127490220,111281692.5
West Asia,Fmr Soviet Union,705600,1240312.5,3717112.5,7646287.5
West Asia,Latin America,541080,11927250,1411560,2547990
West Asia,North America,2387190,11522985,2233335,2539110
West Asia,Oceania,2385810,6723990,2269710,3572280
West Asia,South Asia,15917985,12069742.5,2396385,913410
West Asia,South-East Asia,1149967.5,6504960,441127.5,258802.5
West Asia,West Asia,114981525,65772337.5,122519475,104314837.5
