Year,Month,Bus On-Time Performance,Bus On-Time Performance Target,Bus Fleet Reliability,Bus Fleet Reliability Target,Rail Fleet Reliability,Rail Fleet Reliability Target,Rail On-Time Performance,Rail On-Time Performance Target,Escalator Reliability,Escalator Reliability Target,Elevator Reliability,Elevator Reliability Target,Customer Injury Rate (per 1M passengers),Customer Injury Rate Target,Employee Injury Rate (per 200K hours),Employee Injury Rate Target,Crimes (per 1M passengers),Crimes Target
CY 2014,Apr,77.60%,79%,7648,8000,77957,65000,92.00%,91%,92.60%,93%,97.20%,97%,1.5,1.75,4.6,4.5,,
CY 2014,Aug,78.50%,79%,7911,8000,65042,65000,89.70%,91%,92.70%,93%,96.80%,97%,1.5,1.75,4.3,4.5,,
CY 2014,Dec,78.40%,79%,7670,8000,61000,65000,89.70%,91%,93.20%,93%,96.20%,97%,2.4,1.75,4,4.5,,
CY 2014,Feb,78.40%,79%,7291,8000,66600,65000,92.00%,91%,93.60%,93%,96.60%,97%,1.9,1.75,5.5,4.5,,
CY 2014,Jan,80.40%,79%,5879,8000,44530,65000,89.20%,91%,93.00%,93%,97.40%,97%,3,1.75,4.1,4.5,,
CY 2014,Jul,78.70%,79%,7095,8000,84627,65000,92.20%,91%,92.90%,93%,97.20%,97%,1.7,1.75,4.2,4.5,,
CY 2014,Jun,77.80%,79%,7313,8000,55522,65000,91.20%,91%,93.10%,93%,97.00%,97%,1.6,1.75,3.8,4.5,,
CY 2014,Mar,78.20%,79%,7778,8000,63127,65000,90.40%,91%,93.60%,93%,97.30%,97%,1.5,1.75,4.5,4.5,,
CY 2014,May,76.90%,79%,6773,8000,64848,65000,91.70%,91%,92.30%,93%,97.60%,97%,2.2,1.75,3.9,4.5,,
CY 2014,Nov,77.90%,79%,8440,8000,63436,65000,88.40%,91%,93.80%,93%,96.70%,97%,1.9,1.75,3.9,4.5,,
CY 2014,Oct,75.70%,79%,8027,8000,89891,65000,90.10%,91%,93.80%,93%,96.00%,97%,1.5,1.75,3.3,4.5,,
CY 2014,Sep,76.00%,79%,6954,8000,73150,65000,90.70%,91%,93.00%,93%,96.30%,97%,2.9,1.75,4.5,4.5,,
CY 2014,YTD,78.10%,79%,7127,8000,60485,65000,91.10%,91%,93.00%,93%,97.20%,97%,2,1.75,4.4,4.5,,
CY 2015,Apr,76.80%,79%,7016,8000,60242,65000,89.90%,91%,93.50%,93%,97.10%,97%,2.5,1.75,5.6,4.5,3.8,5
CY 2015,Aug,80.40%,79%,7327,8000,59196,65000,82.80%,91%,93.30%,93%,97.40%,97%,2.5,1.75,6.1,4.5,5.5,5
CY 2015,Dec,78.40%,79%,7893,8000,51599,65000,82.30%,91%,93.30%,93%,97.20%,97%,1.4,1.75,3.7,4.5,4.7,5
CY 2015,Feb,78.90%,79%,7434,8000,41558,65000,83.90%,91%,93.90%,93%,97.40%,97%,1.7,1.75,6.4,4.5,3.6,5
CY 2015,Jan,79.90%,79%,6259,8000,53784,65000,87.30%,91%,93.10%,93%,96.80%,97%,5.2,1.75,8.7,4.5,4.3,5
