Pinterest Board,Pinboard URL,Image URL,Description,Pin Note,Original Link,Pinterest URL,Name,Week,Date Pinned
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/62/ba/21/62ba21cc3b38e5037e2a973335741d9a.jpg,“My overdue #MakeOverMonday - Sugar Consumption @acotgreave @VizWizBI https://t.co/NUYJLEGoYw via @tableaupublic”,Week 13 - Nisa Mara,https://twitter.com/nisa_mara/status/715617435995541505,https://www.pinterest.com/pin/468937379932471469/,Nisa Mara,13,26-06-16 11:42
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/9a/8c/96/9a8c9673f0a67b2cfe22f5278beae9ff.jpg,“#MakeoverMonday Week 7: Gaming. @VizWizBI @acotgreave https://t.co/akmOlXpxR3”,Week 7 - Jeff St. Germaine,https://twitter.com/jeff_stgermaine/status/747027472181501952,https://www.pinterest.com/pin/468937379932471394/,Jeff St. Germaine,7,26-06-16 11:24
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/e3/82/c7/e382c7918055b1d38454c64a90afe3c4.jpg,“Sugar tax: How bold is it? #MakeoverMonday (Week-13) Link-https://t.co/i34C8AS2kJ #Tableau #Viz”,Week 13 - Ashish Chaudhari,https://twitter.com/ashishcool1988/status/746948887827517440,https://www.pinterest.com/pin/468937379932471357/,Ashish Chaudhari,13,26-06-16 11:17
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/57/c1/57/57c1578cfa9ec0c5c3aab5d253d2e828.jpg,“#MakeoverMonday Week 3: Are we Bored w/ Tech? Fast and simple. https://t.co/kwe8ai2HTV”,Week 3 - Jeff St. Germaine,https://twitter.com/jeff_stgermaine/status/747021813146857473,https://www.pinterest.com/pin/468937379932471354/,Jeff St. Germaine,3,26-06-16 11:17
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d5/39/03/d539039d49814888c3e412aadee9bf91.jpg,“#MakeoverMonday Week 4: American Savings. Self imposed 20min time limit for catch up. @VizWizBI @acotgreave”,Week 4 - Jeff St. Germaine,https://twitter.com/jeff_stgermaine/status/747025199594348544,https://www.pinterest.com/pin/468937379932471352/,Jeff St. Germaine,4,26-06-16 11:16
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/02/52/50/025250d792b034d75cecb11270fad638.jpg,"“Didnt Like my #MakeoverMonday (Women in workplace) Sankey 1 ,So redesigned the Viz by using slope Chart.@VizWizBI”",Week 24 - Rajeev Pandey,https://twitter.com/rajvivan/status/746804257613963264,https://www.pinterest.com/pin/468937379932465280/,Rajeev Pandey,24,25-06-16 23:22
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/7f/cf/36/7fcf369438ae554cd5e07839f7abe42a.jpg,“Are Americans Have Too Little Savings? #MakeoverMonday (Week-4) Link - https://t.co/46VSOe5rUz #TableauViz #Viz”,Week 4 - Ashish Chaudhari,https://twitter.com/ashishcool1988/status/746742324227506176,https://www.pinterest.com/pin/468937379932461612/,Ashish Chaudhari,4,25-06-16 17:56
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/df/87/02/df8702c442f78d3717159cdd9a2b03f1.jpg,“#MakeoverMonday week 25 Theft in Japan”,Week 25 - Paula Jennings,https://twitter.com/pjtrilobyte/status/746745351252541440,https://www.pinterest.com/pin/468937379932461605/,Paula Jennings,25,25-06-16 17:56
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/c2/2d/8d/c22d8dc31f148a6b0884cea4db9030b0.jpg,“Are Consumers Bored With Technology? #MakeoverMonday (Week - 2) Link - https://t.co/m9n5qIYVWT #TableauViz #Viz”,Week 2 - Ashish Chaudhari,https://twitter.com/ashishcool1988/status/746711713571999744,https://www.pinterest.com/pin/468937379932459581/,Ashish Chaudhari,2,25-06-16 14:36
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/a1/d7/fd/a1d7fd68980a2054062b74ad8b9e86a6.jpg,"“Late, disorganised, procrastination-plagued, planning-free mess from me. #MakeoverMonday https://t.co/j1iQiUbWsn”",Week 21 - Charlie H,https://twitter.com/CharlieHTableau/status/735905883130068993,https://www.pinterest.com/pin/468937379932458773/,Charlie H,21,25-06-16 13:08
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/b7/53/1a/b7531ac5886420654af52814c7278096.jpg,"“Thanks @VizWizBI ! Really liked your % Change since 04, so I #iterated mine! Added more info, plus dynamic legend”",Week 18 - Rody Zakovich,https://twitter.com/rodyzakovich/status/730779253046906880,https://www.pinterest.com/pin/468937379932458591/,Rody Zakovich,18,25-06-16 12:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/dd/a8/84/dda884f0eb399d64f126c66b906f43ca.jpg,"“Last ""Make-up"" #MakeoverMonday 21st Century Slave Trade.”",Week 17 - Rody Zakovich,https://twitter.com/rodyzakovich/status/731075660396003328,https://www.pinterest.com/pin/468937379932458589/,Rody Zakovich,17,25-06-16 12:50
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/65/6e/bd/656ebdf5a97ed8ac460b8f167f56f57a.jpg,“#MakeoverMonday Just in time for vacation season”,Week 17 - Paul Rau,https://twitter.com/paumrau/status/746799189707849728,https://www.pinterest.com/pin/468937379932471387/,Paul Rau,17,26-06-16 11:23
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/70/d7/8f/70d78fcdbdeaf1a43ec1c38d36e8c2e3.jpg,“#MakeoverMonday from February....now back to The Wire”,Week 8 - Paul Rau,https://twitter.com/paumrau/status/746673430527762432,https://www.pinterest.com/pin/468937379932458577/,Paul Rau,8,25-06-16 12:48
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/83/c9/27/83c927c92f424e66e2387a0c16de6680.jpg,“Another one bites the dust! Week 4 nailed in #MakeoverMonday https://t.co/ovrtyXZjKD”,Week 4 - Charlie H,https://twitter.com/charliehtableau/status/745307945588658176,https://www.pinterest.com/pin/468937379932458569/,Charlie H,4,25-06-16 12:45
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/f0/98/91/f09891d0c78d1b7d94902d8c03bb54f8.jpg,“@VizWizBI :Sure Sir. Really I missed #Makeovermonday alot.Attaching the Static image for your reference”,Week 25 - Rajeev Pandey,https://twitter.com/rajvivan/status/746668498500280321,https://www.pinterest.com/pin/468937379932458078/,Rajeev Pandey,25,25-06-16 11:38
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/45/4b/b3/454bb3e86f099f2af689bf9d9d4638e2.jpg,“#MakeoverMonday week 11 tackled this evening. https://t.co/MSQexVTZsE”,Week 11 - Charlie H,https://twitter.com/charliehtableau/status/746435341528137728,https://www.pinterest.com/pin/468937379932458073/,Charlie H,11,25-06-16 11:37
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/5d/9b/16/5d9b16bfae98956d0f2a385f3637484c.jpg,"“On a Friday night what to do? I made my first #MakeoverMonday ""Theft in Japan""! https://t.co/iDdynY0jpS”",Week 25 - Cesar Picco,https://twitter.com/cesarpicco/status/746564880438800384,https://www.pinterest.com/pin/468937379932458068/,Cesar Picco,25,25-06-16 11:36
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/fb/c7/72/fbc772d8420978740fde1ee773b6757a.jpg,"“Week 12 done! Took 2 hours and needs aesthetic finesse, but I like it. #MakeoverMonday https://t.co/R6zggWyMu0”",Week 12 - Charlie H,https://twitter.com/charliehtableau/status/746799408692469765,https://www.pinterest.com/pin/468937379932471381/,Charlie H,12,26-06-16 11:22
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/b0/06/1e/b0061edacdeeaf64b55b6dcc9a5e9eb2.jpg,“#MakeoverMonday It's wild to see the time needed to earn this”,Week 15 - Paul Rau,https://twitter.com/paumrau/status/746799415885701120,https://www.pinterest.com/pin/468937379932471376/,Paul Rau,15,26-06-16 11:21
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/f4/a7/96/f4a79670f8129a3b74e81c3c7018b8e1.jpg,“Travel Agents vs. Online Hotels Bookings #MakeoverMonday (Week-5) Link - https://t.co/tvW4HZXfl6 #Tableau #Viz”,Week 5 - Ashish Chaudhari,https://twitter.com/ashishcool1988/status/746829616799637505,https://www.pinterest.com/pin/468937379932471371/,Ashish Chaudhari,5,26-06-16 11:21
Makeover Monday,https://www.pinterest.com/andykriebel/makeover-monday/,https://s-media-cache-ak0.pinimg.com/originals/d0/76/fb/d076fba3fdb95be66e45031c3a8c7224.jpg,“I finally did another #dataviz in #tableau courtesy of #makeovermonday Check it! https://t.co/zZurGnuuV8”,Week 24 - Emily Kund,https://twitter.com/emily1852/status/746864310706634753,https://www.pinterest.com/pin/468937379932471370/,Emily Kund,24,26-06-16 11:20
