Company,Tax Haven Subsidiaries,Location of Tax Haven Subsidiaries,Amount Held Offshore ($ millions),Tax Rate Paid on Offshore Cash,Estimated U.S. Tax Bill on Offshore Cash,State Located
3M,13,"Hong Kong(1), Luxembourg(3), Netherlands(1), Panama(1), Singapore(4), Switzerland(3)",11200,,,Minnesota
Abbott Laboratories,91,"Bahamas(2), Barbados(1), Bermuda(6), British Virgin Islands(1), Cayman Islands(4), Costa Rica(3), Cyprus(1), Gibraltar(3), Ireland(13), Lebanon(1), Luxembourg(7), Malta(2), Netherlands(23), Panama(13), Singapore(5), Switzerland(5), U.S. Virgin Islands(1)",23000,,,Illinois
AbbVie Inc,35,"Bahamas(1), Bermuda(3), Channel Islands(3), Cyprus(1), Gibraltar(2), Hong Kong(1), Ireland(5), Luxembourg(5), Netherlands(9), Panama(1), Singapore(2), Switzerland(2)",23000,,,Illinois
Advance Auto Parts,,,108,,,Virginia
Advanced Micro Devices,3,"Barbados(1), Bermuda(1), Singapore(1)",349,0,122,California
AECOM Technology,,,977,,,California
AES,206,"Bahamas(1), Barbados(1), Bermuda(6), British Virgin Islands(10), Cayman Islands(83), Channel Islands(1), Costa Rica(1), Cyprus(2), Hong Kong(1), Ireland(3), Jordan(2), Luxembourg(1), Mauritius(3), Netherlands(78), Panama(7), Singapore(6)",,,,Virginia
Aetna,11,"Bermuda(5), Cayman Islands(1), Hong Kong(2), Ireland(1), Singapore(2)",,,,Connecticut
AGCO,17,"Hong Kong(1), Ireland(2), Luxembourg(1), Netherlands(10), Singapore(1), Switzerland(2)",3300,,,Georgia
Agilent Technologies,7,"Luxembourg(2), Netherlands(1), Singapore(3), Switzerland(1)",5700,,,California
Air products & Chemicals,14,"Bahrain(1), Bermuda(1), Ireland(3), Netherlands(5), Panama(1), Singapore(2), Switzerland(1)",5894,0.1,1466,Pennsylvania
AK Steel Holding,4,"Cayman Islands(1), Netherlands(1), Singapore(1), Vanuatu(1)",27,0,10,Ohio
Alcoa,2,"Luxembourg(1), Netherlands(1)",4600,,,New York
Alleghany,5,"Gibraltar(1), Panama(2), Switzerland(2)",,,,New York
Allergan,28,"Bermuda(5), Cayman Islands(2), Costa Rica(1), Hong Kong(2), Ireland(10), Luxembourg(1), Netherlands(4), Singapore(1), Switzerland(2)",4485,,,California
Alliance Data Systems,33,"Bermuda(3), Hong Kong(3), Ireland(3), Luxembourg(2), Netherlands(19), Singapore(1), Switzerland(2)",55,,,Texas
Allstate,2,"Barbados(1), Ireland(1)",,,,Illinois
Amazon.com,2,Luxembourg(2),2500,,,Washington
American Express,23,"Bahrain(1), Channel Islands(5), Hong Kong(1), Luxembourg(4), Netherlands(8), Netherlands Antilles(1), Singapore(1), Switzerland(2)",9700,0.04,3000,New York
American Financial Group,2,"Bermuda(1), Cayman Islands(1)",,,,Ohio
American International Group,17,"Bahrain(1), Bermuda(4), Cyprus(1), Hong Kong(2), Ireland(2), Lebanon(1), Liechtenstein(1), Panama(1), Singapore(3), Switzerland(1)",,,,New York
Ameriprise Financial,18,"Channel Islands(9), Hong Kong(1), Luxembourg(3), Singapore(1), Switzerland(4)",180,0.13,40,Minnesota
AmerisourceBergen,,,217,,,Pennsylvania
Amgen,8,"Bermuda(3), Ireland(1), Netherlands(2), Switzerland(2)",29300,-0.01,10500,California
Amphenol,15,"Hong Kong(5), Ireland(1), Luxembourg(2), Netherlands(3), Samoa(2), Singapore(2)",,,,Connecticut
AMR,3,"Bermuda(2), St. Lucia(1)",,,,Texas
Anadarko Petroleum,9,"Barbados(1), Cayman Islands(3), Gibraltar(2), Luxembourg(2), Netherlands(1)",,,,Texas
Anixter International,14,"Barbados(1), Costa Rica(1), Hong Kong(2), Ireland(1), Netherlands(6), Panama(1), Singapore(1), Switzerland(1)",679,0.27,52,Illinois
Apache,57,"Cayman Islands(44), Luxembourg(8), Netherlands(1), Singapore(2), St. Lucia(1), Switzerland(1)",,,,Texas
Apple,3,Ireland(3),181100,0.02,59200,California
Applied Materials,21,"Cayman Islands(1), Gibraltar(1), Hong Kong(3), Ireland(1), Luxembourg(6), Netherlands(3), Singapore(3), Switzerland(3)",2700,,,California
Aramark,18,"Bermuda(1), British Virgin Islands(3), Cayman Islands(1), Hong Kong(1), Ireland(10), Luxembourg(1), Netherlands(1)",,,,Pennsylvania
Archer Daniels Midland,4,"Cayman Islands(1), Netherlands(2), Switzerland(1)",8600,,,Illinois
ARRIS Group,10,"Barbados(1), Hong Kong(2), Ireland(1), Luxembourg(2), Netherlands(2), Singapore(1), Switzerland(1)",48,,,Georgia
Arrow Electronics,51,"British Virgin Islands(1), Cayman Islands(3), Channel Islands(1), Hong Kong(15), Ireland(1), Luxembourg(1), Mauritius(1), Netherlands(11), Seychelles(1), Singapore(15), Switzerland(1)",2947,,,Colorado
Ashland,33,"Barbados(1), Bermuda(5), British Virgin Islands(1), Cyprus(1), Gibraltar(2), Hong Kong(2), Ireland(2), Luxembourg(1), Netherlands(11), Singapore(3), Switzerland(2), U.S. Virgin Islands(2)",1800,,,Kentucky
Assurant,12,"Bermuda(1), Cayman Islands(4), Ireland(1), Isle of Man(1), Malta(1), Netherlands(2), Turks and Caicos(2)",163,0.34,1,New York
Autoliv,3,Netherlands(3),4000,,,Michigan
Automatic Data Processing,,,418,,,New Jersey
AutoNation,1,Cayman Islands(1),,,,Florida
AutoZone,,,345,,,Tennessee
Avery Dennison,70,"British Virgin Islands(9), Channel Islands(1), Gibraltar(2), Hong Kong(8), Ireland(2), Luxembourg(13), Mauritius(2), Netherlands(25), Singapore(5), Switzerland(3)",2200,,,California
Avis Budget Group,24,"Barbados(1), Channel Islands(5), Isle of Man(3), Luxembourg(3), Monaco(1), Netherlands(6), Singapore(1), Switzerland(3), U.S. Virgin Islands(1)",853,,,New Jersey
Avnet,43,"British Virgin Islands(3), Hong Kong(16), Ireland(4), Macau(1), Malta(1), Netherlands(7), Singapore(9), Switzerland(2)",3060,,,Arizona
Avon Products,28,"Bermuda(4), Cayman Islands(10), Hong Kong(1), Ireland(1), Luxembourg(1), Mauritius(1), Netherlands(6), Panama(2), Singapore(1), Switzerland(1)",,,,New York
Baker Hughes,11,"Luxembourg(8), Netherlands(3)",6100,,,Texas
Ball,29,"British Virgin Islands(4), Cayman Islands(2), Hong Kong(9), Luxembourg(5), Netherlands(6), Singapore(1), Switzerland(2)",,,,Colorado
Bank of America Corp.,22,"Bermuda(2), Cayman Islands(1), Channel Islands(1), Costa Rica(1), Hong Kong(3), Ireland(1), Luxembourg(3), Netherlands(2), Singapore(6), Switzerland(2)",17200,0.09,4500,North Carolina
Bank of New York Mellon Corp.,5,"Channel Islands(1), Ireland(3), Luxembourg(1)",6000,0.15,1200,New York
Baxter International,19,"Costa Rica(1), Hong Kong(1), Ireland(2), Malta(2), Netherlands(4), Singapore(2), Switzerland(7)",13900,0.05,4200,Illinois
BB&T Corp.,3,"Bermuda(1), Cayman Islands(1), Turks and Caicos(1)",,,,North Carolina
Becton Dickinson,38,"Bermuda(2), British Virgin Islands(1), Cayman Islands(3), Gibraltar(4), Hong Kong(1), Ireland(4), Luxembourg(8), Mauritius(1), Netherlands(5), Singapore(5), Switzerland(4)",4900,,,New Jersey
Berkshire Hathaway,9,"Cayman Islands(1), Gibraltar(2), Luxembourg(2), Netherlands(4)",10000,,,Nebraska
Best Buy,13,"Bermuda(1), Hong Kong(2), Luxembourg(1), Mauritius(7), Netherlands(1), Turks and Caicos(1)",770,,,Minnesota
Biogen ,14,"Bermuda(1), Hong Kong(1), Ireland(1), Isle of Man(2), Luxembourg(1), Netherlands(2), Singapore(1), Switzerland(5)",4600,0.01,1550,Massachusetts
BlackRock,40,"Cayman Islands(5), Channel Islands(8), Cyprus(1), Hong Kong(4), Ireland(5), Isle of Man(3), Luxembourg(7), Netherlands(1), Singapore(5), Switzerland(1)",3871,,,New York
Blackstone Group,161,"Cayman Islands(128), Channel Islands(2), Hong Kong(5), Ireland(7), Luxembourg(1), Mauritius(4), Netherlands(12), Singapore(2)",,,,New York
Boeing,1,Bermuda(1),800,,,Illinois
BorgWarner,7,"Bermuda(1), Hong Kong(1), Ireland(1), Luxembourg(3), Monaco(1)",2700,,,Michigan
Boston Scientific,20,"Bermuda(1), Costa Rica(1), Hong Kong(1), Ireland(6), Lebanon(2), Netherlands(6), Singapore(1), Switzerland(2)",7700,,,Massachusetts
Bristol-Myers Squibb,22,"Barbados(1), Bermuda(1), Hong Kong(1), Ireland(6), Luxembourg(2), Netherlands(7), Panama(1), Singapore(1), Switzerland(2)",24000,,,New York
Broadcom,5,"Bermuda(1), Cayman Islands(3), Singapore(1)",4850,,,California
C.H. Robinson Worldwide,11,"Hong Kong(3), Ireland(2), Luxembourg(1), Netherlands(1), Singapore(3), Switzerland(1)",,,,Minnesota
Caesars Entertainment,22,"Bahamas(3), Barbados(1), Bermuda(2), British Virgin Islands(1), Hong Kong(3), Isle of Man(2), Macau(2), Netherlands(7), Singapore(1)",118,0.24,13,Nevada
Cameron International,56,"Barbados(1), Bermuda(1), Cayman Islands(11), Hong Kong(1), Ireland(4), Luxembourg(24), Malta(1), Netherlands(9), Singapore(4)",5100,,,Texas
Campbell Soup,7,"Hong Kong(4), Luxembourg(1), Netherlands(1), Singapore(1)",740,,,New Jersey
Capital One Financial,,,1400,,,Virginia
Cardinal Health,8,"Bermuda(1), Hong Kong(1), Ireland(1), Luxembourg(1), Malta(1), Netherlands(1), Singapore(1), Switzerland(1)",1900,,,Ohio
CarMax,1,Bermuda(1),,,,Virginia
Caterpillar,72,"Bermuda(8), Cayman Islands(2), Channel Islands(1), Costa Rica(1), Hong Kong(10), Ireland(2), Luxembourg(10), Netherlands(11), Panama(3), Singapore(11), Switzerland(13)",18000,,,Illinois
CB Richard Ellis Group,4,"Channel Islands(1), Luxembourg(2), Netherlands(1)",1300,,,California
CBS,44,"Bahamas(8), Bermuda(3), Cayman Islands(7), Cyprus(1), Luxembourg(6), Netherlands(12), Netherlands Antilles(1), Panama(1), Singapore(2), Switzerland(3)",3990,,,New York
