Country,Item,Metric,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,Peaches and nectarines,Production (tonnes),12000,12000,12000,14700,16300,18200,22100,22300,22500,21800,17200,21300,22100,22300,22300,20900,12400,18100,17300,17900,17700,17100,16600,16000,15300,15500,13300,13500,13600,13574,13611,13800,13500,13700,14000,14734,16171,18485,20618,21451,24432,24005,18200,16800,16100,14700,13622,24960,16752,13400,15016,15997
Albania,Peaches and nectarines,Production (tonnes),2000,1000,900,900,900,10000,900,1000,1500,2000,2000,2000,2000,3000,3000,4000,4000,5000,5000,4700,3700,3500,3300,3000,2600,4900,3900,3900,4800,4300,2900,2140,3000,2500,2000,1600,1800,2000,2000,2000,6100,4000,4400,4800,5600,7540,7500,9000,11047,11525,13100,14600
Algeria,Peaches and nectarines,Production (tonnes),11100,10400,4000,8400,8391,7424,7720,7903,8094,8400,8785,7990,9013,13080,18620,13075,14080,9262,9558,11946,16260,15970,17060,19642,20190,21880,29850,23686,32790,15336,33103,35631,41191,36217,38654,45291,38697,45153,60911,59140,57674,65767,73964,80462,95059,117504,75174,118757,147400,156890,180319,177986
Argentina,Peaches and nectarines,Production (tonnes),186000,183000,186000,158000,238000,113000,203300,224200,248400,236100,277700,265300,90400,265300,251900,287900,283000,250000,282000,238000,222000,182000,256000,241000,287400,209000,196200,260000,249500,220000,240000,235000,250000,243722,199000,260000,230274,261648,240000,209634,257768,211922,255785,272442,272500,260000,270000,308731,300000,318000,284970,290000
Armenia,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100,4400,11600,13200,14100,10600,16600,11536,26800,16000,10500,9500,11400,25500,40000,63868,41651,57883,23805,43824,63528
Australia,Peaches and nectarines,Production (tonnes),52970,52970,83735,84446,91543,106567,115665,124244,131644,111337,115489,126550,123881,122456,86012,94139,83896,70152,65955,72174,73346,83186,69500,68422,53371,65259,67000,67836,73973,60048,68033,70180,75958,79098,75579,78638,93986,87564,93459,112000,107703,117474,126983,99489,130171,139570,130916,128000,117188,113700,97547,100462
Austria,Peaches and nectarines,Production (tonnes),11227,7298,9343,9061,6646,7839,7873,7519,8316,7650,5527,5063,7056,7254,8483,8018,5182,9213,7119,13854,8657,17194,13390,14308,11029,13732,10090,7368,11801,11597,11765,10141,11113,11084,10997,10675,9579,8036,9685,9663,8176,6698,7259,8572,8229,9160,8005,8389,8837,8466,10023,8070
Azerbaijan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,7500,7000,7000,6800,7000,12900,11200,11000,10400,10623,11383,6664,16007,16816,15623,19302,19336,16707,18014,23596
Bhutan,Peaches and nectarines,Production (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,2576,2421,3136,2125,1234,779,782,800
Bolivia (Plurinational State of),Peaches and nectarines,Production (tonnes),21600,21800,22000,22000,22100,22200,22300,22400,22000,22500,22500,22500,22800,24120,24900,25620,26350,27545,31755,30935,30885,30470,23940,24058,20747,26036,27360,29610,29960,30333,33188,30420,33540,35646,35400,35590,35590,35590,36000,36500,37328,34000,20000,15814,16597,17000,17136,17324,32811,33636,32488,33500
