Date,Clinton,Trump,Other,Undecided,State
01-04-16,0.3753,0.5217,0.0076,0.0954,Alabama
02-04-16,0.3755,0.5214,0.0076,0.0955,Alabama
03-04-16,0.3745,0.5226,0.0076,0.0954,Alabama
04-04-16,0.3733,0.5237,0.0076,0.0953,Alabama
05-04-16,0.3723,0.5247,0.0076,0.0953,Alabama
06-04-16,0.3711,0.5258,0.0077,0.0954,Alabama
07-04-16,0.3717,0.5252,0.0077,0.0954,Alabama
08-04-16,0.3719,0.5247,0.0078,0.0956,Alabama
09-04-16,0.3723,0.524,0.0079,0.0958,Alabama
10-04-16,0.3719,0.5241,0.0079,0.0961,Alabama
11-04-16,0.3718,0.5239,0.008,0.0963,Alabama
12-04-16,0.3716,0.5237,0.0081,0.0965,Alabama
13-04-16,0.3715,0.5236,0.0082,0.0967,Alabama
14-04-16,0.3715,0.5233,0.0083,0.0969,Alabama
15-04-16,0.3714,0.5234,0.0084,0.0968,Alabama
16-04-16,0.3717,0.523,0.0085,0.0968,Alabama
17-04-16,0.3717,0.5229,0.0086,0.0968,Alabama
18-04-16,0.3716,0.5228,0.0087,0.0969,Alabama
19-04-16,0.3716,0.5226,0.0088,0.097,Alabama
20-04-16,0.37,0.524,0.0089,0.0971,Alabama
21-04-16,0.3689,0.5248,0.009,0.0972,Alabama
22-04-16,0.367,0.5263,0.0092,0.0975,Alabama
23-04-16,0.3656,0.5276,0.0093,0.0975,Alabama
24-04-16,0.365,0.5276,0.0095,0.0979,Alabama
25-04-16,0.3639,0.5284,0.0096,0.0981,Alabama
26-04-16,0.3629,0.5289,0.0098,0.0984,Alabama
27-04-16,0.3606,0.531,0.0099,0.0985,Alabama
28-04-16,0.3587,0.5325,0.0101,0.0987,Alabama
29-04-16,0.356,0.5348,0.0103,0.0989,Alabama
30-04-16,0.3538,0.5363,0.0105,0.0993,Alabama
01-05-16,0.3522,0.5373,0.0108,0.0997,Alabama
02-05-16,0.3506,0.5383,0.011,0.1001,Alabama
03-05-16,0.3492,0.539,0.0112,0.1005,Alabama
04-05-16,0.3474,0.5403,0.0114,0.1009,Alabama
05-05-16,0.3454,0.5418,0.0117,0.1011,Alabama
06-05-16,0.3439,0.5426,0.0119,0.1016,Alabama
07-05-16,0.3423,0.5435,0.0122,0.1019,Alabama
08-05-16,0.3417,0.5436,0.0125,0.1022,Alabama
