Rank,Company,Total TEU,Total Ships,Total TEU per Ship,Owned TEU,Owned Ships,Owned TEU per Ship, % Owned ,Chartered TEU,Chartered Ships,Chartered TEU per Ship,% Chartered,Orderbook TEU,Orderbook Ships,% Orderbook,
1,APM-Maersk,3159054,615,5137,1746756,261,6693,55.3%,1412298,354,3990,44.7%,387150,29,12.3%,
2,Mediterranean Shg Co,2759542,485,5690,1055967,190,5558,38.3%,1703575,295,5775,61.7%,401063,30,14.5%,
3,CMA CGM Group,2235416,490,4562,1011166,140,7223,45.2%,1224250,350,3498,54.8%,235624,24,10.5%,
4,COSCO Container Lines,1534950,278,5521,463317,81,5720,30.2%,1071633,197,5440,69.8%,560888,35,36.5%,
5,Evergreen Line,956864,188,5090,557365,107,5209,58.2%,399499,81,4932,41.8%,367272,39,38.4%,
6,Hapag-Lloyd,916826,163,5625,506011,70,7229,55.2%,410815,93,4417,44.8%,52500,5,5.7%,
7,Hanjin Shipping,623910,99,6302,274078,37,7408,43.9%,349832,62,5642,56.1%,0,0,0.0%,
8,Hamburg Süd Group,610561,118,5174,292311,44,6643,47.9%,318250,74,4301,52.1%,30400,8,5.0%,
9,Yang Ming Marine Transport Corp.,580394,104,5581,203810,43,4740,35.1%,376584,61,6174,64.9%,98396,7,17.0%,
10,OOCL,574509,100,5745,397531,53,7501,69.2%,176978,47,3765,30.8%,126600,6,22.0%,
11,UASC,544544,57,9553,419203,38,11032,77.0%,125341,19,6597,23.0%,29986,2,5.5%,
12,MOL,521984,85,6141,151316,22,6878,29.0%,370668,63,5884,71.0%,120900,6,23.2%,
13,NYK Line,508850,96,5301,267544,45,5945,52.6%,241306,51,4731,47.4%,168182,12,33.1%,
14,Hyundai M.M.,437512,60,7292,165080,22,7504,37.7%,272432,38,7169,62.3%,0,0,0.0%,
15,PIL (Pacific Int. Line),361343,141,2563,296643,120,2472,82.1%,64700,21,3081,17.9%,141600,12,39.2%,
16,K Line,359861,62,5804,80150,12,6679,22.3%,279711,50,5594,77.7%,69350,5,19.3%,
17,Zim,340112,74,4596,27800,6,4633,8.2%,312312,68,4593,91.8%,0,0,0.0%,
18,Wan Hai Lines,236354,93,2541,168590,70,2408,71.3%,67764,23,2946,28.7%,15200,8,6.4%,
19,X-Press Feeders Group,158420,99,1600,27441,22,1247,17.3%,130979,77,1701,82.7%,0,0,0.0%,
20,KMTC,116495,58,2009,44811,26,1724,38.5%,71684,32,2240,61.5%,7200,4,6.2%,
21,IRISL Group,100580,48,2095,100580,48,2095,100.0%,0,0,0,0.0%,2288,1,2.3%,
22,SITC,87576,70,1251,62082,47,1321,70.9%,25494,23,1108,29.1%,0,0,0.0%,
23,TS Lines,85804,42,2043,1578,1,1578,1.8%,84226,41,2054,98.2%,7200,4,8.4%,
24,Arkas Line / EMES,77134,44,1753,65415,38,1721,84.8%,11719,6,1953,15.2%,11016,4,14.3%,
25,Simatech,60830,21,2897,21782,8,2723,35.8%,39048,13,3004,64.2%,0,0,0.0%,
26,Transworld Group,54564,32,1705,37441,20,1872,68.6%,17123,12,1427,31.4%,0,0,0.0%,
27,Quanzhou An Sheng Shg Co,53888,43,1253,51169,37,1383,95.0%,2719,6,453,5.0%,9600,4,17.8%,
28,RCL (Regional Container L.),50807,27,1882,23713,18,1317,46.7%,27094,9,3010,53.3%,3376,2,6.6%,
29,Zhonggu Shipping,49152,42,1170,40306,21,1919,82.0%,8846,21,421,18.0%,22500,9,45.8%,
30,Grimaldi (Napoli),47448,42,1130,42971,40,1074,90.6%,4477,2,2239,9.4%,7618,2,16.1%,
31,UniFeeder,43387,41,1058,0,0,0,0.0%,43387,41,1058,100.0%,0,0,0.0%,
32,Sinokor,43111,40,1078,18293,21,871,42.4%,24818,19,1306,57.6%,0,0,0.0%,
33,Matson,42923,26,1651,40534,22,1842,94.4%,2389,4,597,5.6%,14200,4,33.1%,
34,Emirates Shipping Line,41405,9,4601,0,0,0,0.0%,41405,9,4601,100.0%,0,0,0.0%,
35,Swire Shipping,41322,30,1377,36920,25,1477,89.3%,4402,5,880,10.7%,0,0,0.0%,
36,Heung-A Shipping,40458,35,1156,11153,15,744,27.6%,29305,20,1465,72.4%,3600,2,8.9%,
37,Sinotrans,36283,29,1251,17165,15,1144,47.3%,19118,14,1366,52.7%,16000,4,44.1%,
38,Meratus,34657,52,666,34113,48,711,98.4%,544,4,136,1.6%,1074,2,3.1%,
39,Seaboard Marine,34429,24,1435,2418,3,806,7.0%,32011,21,1524,93.0%,0,0,0.0%,
