Restaurant Name,Inspection Date,Score,Address,Zip Code,Latitude,Longitude,Facility ID,Process Description
6M Grocery,17-01-14,90,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
6M Grocery,27-04-15,93,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
6M Grocery,05-02-16,88,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
6M Grocery,25-07-14,100,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
6M Grocery,21-10-15,87,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
6M Grocery,15-12-14,93,"805 W FM 1626 RD, AUSTIN, TX 78652",78652,30.138053,-97.83102,2803436,Routine Inspection
7 Eleven #36575,25-01-16,92,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7 Eleven #36575,03-05-15,86,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7 Eleven #36575,14-03-14,93,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7 Eleven #36575,27-07-15,97,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7 Eleven #36575,28-07-16,77,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7 Eleven #36575,09-09-14,76,"15829 N IH 35 SVRD NB, AUSTIN, TX 78660",78660,30.433206,-97.600579,10874330,Routine Inspection
7-Eleven #36562H,29-01-15,78,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,16-03-16,74,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,25-03-15,72,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,23-04-14,87,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,16-08-16,80,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,26-10-15,78,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven #36562H,28-10-14,85,"6422 S US 183 HWY SB, AUSTIN, TX 78744",78744,30.196311,-97.730807,10874472,Routine Inspection
7-Eleven 36559H,28-01-15,89,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,02-02-16,75,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,03-11-14,77,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,17-04-15,85,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,22-07-16,93,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,25-08-15,86,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven 36559H,09-12-14,89,"3636 N FM 620 RD, AUSTIN, TX 78734",78734,30.40423,-97.853739,10874261,Routine Inspection
7-Eleven Convenience Store # 36564A,02-02-15,100,"7002 N FM 620 RD, AUSTIN, TX 78732",78732,30.404243,-97.853733,11066939,Routine Inspection
