Product Family,Beers & Lagers,Blended Whisky,Brandy Butter,Brussels Sprouts,Carrots,Christmas Crackers,Cranberry Sauce,Fresh Turkey,Frozen Carrots,Frozen Turkey,Gammons & Hams,Gravy,Parsnips,Pies,Potatoes,Red Wine,Sponge Pudding,Stuffing,Stuffing & Dumpling Mix,White Wine,Totals
2006,6.73,18.26,1.13,3.66,2.79,11.54,0.63,7.72,1.59,3.4,31.21,1.04,1.23,1.65,1.71,5.01,6.09,5,0.73,4.99,116.09
2007,6.28,18.42,1.58,4.39,2.96,11.04,0.58,6.94,1.5,3.4,28.6,1.02,1.03,1.77,1.63,5.26,5.92,6.55,0.72,5.07,114.67
2008,5.82,18.9,1.3,3.92,2.22,8.45,0.58,10.45,1.16,3.99,27.72,1.03,1.19,1.52,1.54,5.38,5.1,5.86,0.79,5.31,112.25
2009,6.07,18.68,1.2,3.23,1.99,7.5,0.56,8.3,1.3,3.42,29.61,0.98,0.97,1.44,1.66,5.46,4.99,4.87,0.69,5.4,108.3
2010,5.71,19.54,1.21,9.56,2.2,8.4,0.5,9.61,1.16,4.94,26.21,1.05,1.02,1.5,1.34,5.86,5.48,5.06,0.79,5.41,116.54
2011,5.38,20.16,1.2,3.68,2.07,8.84,0.57,7.58,1,5.12,28.65,0.98,0.93,1.88,1,5.67,5.35,5.23,0.69,5.15,111.14
2012,4.99,20.09,0.99,4.07,2.16,8.55,0.61,9.38,0.96,5.07,26.27,0.99,0.82,1.95,1.66,5.47,5.67,5.57,0.73,5,111.01
2013,4.46,20.18,1.08,4.03,1.98,8.4,0.54,8.38,0.94,4.81,25.85,1.1,0.88,1.9,1.32,5.36,5.25,5.63,0.73,5.09,107.91
2014,4.49,21.83,1.12,3.8,2.18,7.67,0.5,8.25,0.99,5.01,25.28,1.26,0.8,1.76,1.53,5.28,5.06,6.12,0.72,4.97,108.63
2015,6.36,22.2,1.18,3.57,2.09,7.73,0.52,7.5,1.14,4.81,25.23,1.16,0.86,1.81,2.1,5.14,5.17,6.05,0.72,5.06,110.41
2016,5.26,24.98,0.94,4.07,2.04,10.9,0.57,8.34,1.21,5.37,26.46,1.21,0.68,1.81,2.4,5.75,5.44,5.98,0.83,5.69,119.94
